"id","Processo_Seletivo","nota","Modalidade_Inscrita","Numero_Chamada_Convocacao","Modalidade_Convocada","Codigo_Modalidade_Inscrita","Codigo_Modalidade_Convocada","Curso","mod_ins","mod_con","pub","bxa","ppi","pcd"
2256,"SISU2019",762.1,5,1,5,"Candidatos autodeclarados pretos, pardos ou indígenas que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)","Candidatos autodeclarados pretos, pardos ou indígenas que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)","MEDICINA","L06","L06",TRUE,FALSE,TRUE,FALSE
2309,"SISU2019",757.94,5,1,5,"Candidatos autodeclarados pretos, pardos ou indígenas que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)","Candidatos autodeclarados pretos, pardos ou indígenas que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)","MEDICINA","L06","L06",TRUE,FALSE,TRUE,FALSE
2393,"SISU2019",691.7,6,1,6,"Candidatos com deficiência autodeclarados pretos, pardos ou indígenas que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)","Candidatos com deficiência autodeclarados pretos, pardos ou indígenas que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)","MEDICINA","L13","L13",TRUE,FALSE,FALSE,TRUE
2419,"SISU2019",688.4,2,1,2,"Candidatos com deficiência autodeclarados pretos, pardos ou indígenas, que tenham renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)","Candidatos com deficiência autodeclarados pretos, pardos ou indígenas, que tenham renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)","MEDICINA","L09","L09",TRUE,TRUE,FALSE,TRUE
2461,"SISU2019",768.92,8,1,8,"Candidatos com deficiência que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)","Candidatos com deficiência que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)","MEDICINA","L14","L14",TRUE,FALSE,TRUE,TRUE
2504,"SISU2019",748.84,4,1,4,"Candidatos com deficiência que tenham renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)","Candidatos com deficiência que tenham renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)","MEDICINA","L10","L10",TRUE,TRUE,TRUE,TRUE
2563,"SISU2019",787.22,3,1,3,"Candidatos com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)","Candidatos com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)","MEDICINA","L01","L01",TRUE,TRUE,FALSE,FALSE
2625,"SISU2019",773.22,3,1,3,"Candidatos com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)","Candidatos com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)","MEDICINA","L01","L01",TRUE,TRUE,FALSE,FALSE
2684,"SISU2019",770.48,3,1,3,"Candidatos com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)","Candidatos com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)","MEDICINA","L01","L01",TRUE,TRUE,FALSE,FALSE
2732,"SISU2019",769.76,3,1,3,"Candidatos com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)","Candidatos com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)","MEDICINA","L01","L01",TRUE,TRUE,FALSE,FALSE
2767,"SISU2019",767.28,3,1,3,"Candidatos com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)","Candidatos com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)","MEDICINA","L01","L01",TRUE,TRUE,FALSE,FALSE
2825,"SISU2019",800.04,7,1,7,"Candidatos que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)","Candidatos que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)","MEDICINA","L05","L05",TRUE,FALSE,FALSE,FALSE
2886,"SISU2019",798.24,7,1,7,"Candidatos que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)","Candidatos que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)","MEDICINA","L05","L05",TRUE,FALSE,FALSE,FALSE
2944,"SISU2019",791.08,7,1,7,"Candidatos que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)","Candidatos que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)","MEDICINA","L05","L05",TRUE,FALSE,FALSE,FALSE
2997,"SISU2019",781.92,7,1,7,"Candidatos que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)","Candidatos que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)","MEDICINA","L05","L05",TRUE,FALSE,FALSE,FALSE
3089,"SISU2019",799.24,9,2,9,"Ampla Concorrência","Ampla Concorrência","MEDICINA","A0","A0",FALSE,FALSE,FALSE,FALSE
3154,"SISU2019",799.24,9,2,9,"Ampla Concorrência","Ampla Concorrência","MEDICINA","A0","A0",FALSE,FALSE,FALSE,FALSE
3229,"SISU2019",798.76,9,2,9,"Ampla Concorrência","Ampla Concorrência","MEDICINA","A0","A0",FALSE,FALSE,FALSE,FALSE
3294,"SISU2019",798.54,9,2,9,"Ampla Concorrência","Ampla Concorrência","MEDICINA","A0","A0",FALSE,FALSE,FALSE,FALSE
3374,"SISU2019",797.48,9,3,9,"Ampla Concorrência","Ampla Concorrência","MEDICINA","A0","A0",FALSE,FALSE,FALSE,FALSE
3440,"SISU2019",797.42,9,8,9,"Ampla Concorrência","Ampla Concorrência","MEDICINA","A0","A0",FALSE,FALSE,FALSE,FALSE
3515,"SISU2019",797.18,9,NA,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
3550,"SISU2019",796.92,9,NA,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
3647,"SISU2019",796.58,9,NA,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
3697,"SISU2019",796.42,9,NA,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
3763,"SISU2019",796.1,9,NA,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
3823,"SISU2019",794.72,9,NA,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
3891,"SISU2019",794.5,9,NA,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
3982,"SISU2019",792.56,9,NA,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
4031,"SISU2019",791.6,9,0,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
4097,"SISU2019",791.36,9,0,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
4165,"SISU2019",791.3,9,NA,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
4219,"SISU2019",790.98,9,NA,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
4284,"SISU2019",790.68,9,NA,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
4349,"SISU2019",789.2,9,0,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
4436,"SISU2019",788.86,9,NA,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
4512,"SISU2019",788.76,9,NA,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
4547,"SISU2019",788.76,9,NA,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
4628,"SISU2019",788.02,9,NA,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
4676,"SISU2019",785.62,9,NA,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
4755,"SISU2019",784.72,9,NA,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
4806,"SISU2019",783.54,9,0,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
4859,"SISU2019",780.34,9,NA,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
4951,"SISU2019",779.32,9,0,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
5004,"SISU2019",777.12,9,NA,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
5045,"SISU2019",776.38,9,NA,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
5122,"SISU2019",775.96,9,NA,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
5183,"SISU2019",775.58,9,NA,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
5219,"SISU2019",775.5,9,0,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
5272,"SISU2019",775.14,9,NA,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
5332,"SISU2019",775.02,9,NA,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
5389,"SISU2019",774.88,9,0,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
5457,"SISU2019",773.96,9,0,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
5494,"SISU2019",773.5,9,NA,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
5546,"SISU2019",772.94,9,0,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
5602,"SISU2019",771.86,9,0,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
5637,"SISU2019",771.56,9,0,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
5691,"SISU2019",770.96,9,NA,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
5728,"SISU2019",770.16,9,0,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
5768,"SISU2019",769.36,9,0,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
5832,"SISU2019",769.28,9,NA,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
5875,"SISU2019",768.1,9,NA,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
5915,"SISU2019",767.62,9,NA,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
5948,"SISU2019",767.08,9,NA,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
5987,"SISU2019",765.16,9,NA,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
6022,"SISU2019",765.08,9,NA,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
6063,"SISU2019",765.02,9,0,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
6097,"SISU2019",764.46,9,NA,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
6141,"SISU2019",764.32,9,NA,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
6162,"SISU2019",763.78,9,NA,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
6208,"SISU2019",762.98,9,0,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
6239,"SISU2019",762.12,9,0,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
6260,"SISU2019",761.56,9,NA,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
6292,"SISU2019",761.48,9,0,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
6323,"SISU2019",761.12,9,0,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
6359,"SISU2019",760.58,9,0,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
6380,"SISU2019",760.16,9,0,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
6415,"SISU2019",760.04,9,NA,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
6436,"SISU2019",759.92,9,NA,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
6468,"SISU2019",759.6,9,NA,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
6491,"SISU2019",759.54,9,NA,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
6507,"SISU2019",759,9,NA,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
6535,"SISU2019",758.88,9,NA,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
6564,"SISU2019",758.7,9,0,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
6575,"SISU2019",758.56,9,0,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
6607,"SISU2019",758.46,9,NA,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
6621,"SISU2019",757.74,9,NA,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
6637,"SISU2019",756.52,9,NA,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
6660,"SISU2019",755.28,9,NA,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
6679,"SISU2019",755.04,9,NA,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
6697,"SISU2019",754.7,9,0,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
6714,"SISU2019",754.44,9,NA,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
6734,"SISU2019",753.54,9,NA,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
6751,"SISU2019",753.5,9,NA,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
6766,"SISU2019",753.32,9,NA,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
6791,"SISU2019",753.24,9,0,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
6799,"SISU2019",753.2,9,0,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
6825,"SISU2019",752.6,9,NA,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
6836,"SISU2019",752.46,9,0,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
6853,"SISU2019",752.4,9,NA,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
6867,"SISU2019",751.88,9,NA,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
6880,"SISU2019",751.44,9,0,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
6890,"SISU2019",751,9,0,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
6907,"SISU2019",750.3,9,0,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
6922,"SISU2019",749.82,9,0,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
6934,"SISU2019",749.58,9,NA,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
6948,"SISU2019",748.62,9,NA,NA,"Ampla Concorrência","","MEDICINA","A0","NA",FALSE,FALSE,FALSE,FALSE
